"Name","Month","Sales","ExciseTax","County","Established","ProdProcURLLink"
"75","GREEN FREEDOM","Apr-2016","$201,026","$0","Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com/license/412515"
"76","GREEN FREEDOM","Mar-2016","$121,483","$0","Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com/license/412515"
"77","GREEN FREEDOM","Feb-2016","$192,479","$0","Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com/license/412515"
"78","GREEN FREEDOM","Jan-2016","$93,231","-$1,647","Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com/license/412515"
"79","GREEN FREEDOM","All-2015","$580,482","$3,375","Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com/license/412515"
"80","PODWORKS CORP","Oct-2016","$434,576","$0","Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com/license/423396"
"81","PODWORKS CORP","Sep-2016","$357,410","$0","Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com/license/423396"
"82","PODWORKS CORP","Aug-2016","$385,888","$0","Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com/license/423396"
"83","PODWORKS CORP","Jul-2016","$260,103","$0","Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com/license/423396"
"84","PODWORKS CORP","Jun-2016","$269,273","$0","Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com/license/423396"
"85","PODWORKS CORP","May-2016","$254,641","$0","Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com/license/423396"
"86","PODWORKS CORP","Apr-2016","$198,648","$0","Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com/license/423396"
"87","PODWORKS CORP","Mar-2016","$164,395","$0","Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com/license/423396"
"88","PODWORKS CORP","Feb-2016","$205,920","-$275","Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com/license/423396"
"89","PODWORKS CORP","Jan-2016","$206,558","-$140","Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com/license/423396"
"90","PODWORKS CORP","All-2015","$1,601,274","$88,062","Snohomish County","Producer/Processor since Jul 2016","http://www.502data.com/license/423396"
"91","SPINNING HEADS","Oct-2016","$428,516","$0","Pierce County","Producer/Processor since Mar 2015","http://www.502data.com/license/413718"
"92","SPINNING HEADS","Sep-2016","$483,947","$0","Pierce County","Producer/Processor since Mar 2015","http://www.502data.com/license/413718"
"93","SPINNING HEADS","Aug-2016","$554,265","$0","Pierce County","Producer/Processor since Mar 2015","http://www.502data.com/license/413718"
"94","SPINNING HEADS","Jul-2016","$508,353","$0","Pierce County","Producer/Processor since Mar 2015","http://www.502data.com/license/413718"
"95","SPINNING HEADS","Jun-2016","$383,418","$0","Pierce County","Producer/Processor since Mar 2015","http://www.502data.com/license/413718"
"96","SPINNING HEADS","May-2016","$493,006","$0","Pierce County","Producer/Processor since Mar 2015","http://www.502data.com/license/413718"
"97","SPINNING HEADS","Apr-2016","$299,945","$0","Pierce County","Producer/Processor since Mar 2015","http://www.502data.com/license/413718"
"98","SPINNING HEADS","Mar-2016","$367,835","$0","Pierce County","Producer/Processor since Mar 2015","http://www.502data.com/license/413718"
"99","SPINNING HEADS","Feb-2016","$260,062","$0","Pierce County","Producer/Processor since Mar 2015","http://www.502data.com/license/413718"
"100","SPINNING HEADS","Jan-2016","$306,223","$0","Pierce County","Producer/Processor since Mar 2015","http://www.502data.com/license/413718"
"101","SPINNING HEADS","All-2015","$2,113,510","$200,643","Pierce County","Producer/Processor since Mar 2015","http://www.502data.com/license/413718"
