"Name","Month","Sales","ExciseTax","County","Established","RetailerURLLink"
"97","ISSAQUAH CANNABIS COMPANY","Jul-2016",740305,273913,"King County","Retailer since Jan 2015","http://www.502data.com//license/414867"
"98","ISSAQUAH CANNABIS COMPANY","Jun-2016",686997,254189,"King County","Retailer since Jan 2015","http://www.502data.com//license/414867"
"99","ISSAQUAH CANNABIS COMPANY","May-2016",673314,249126,"King County","Retailer since Jan 2015","http://www.502data.com//license/414867"
"100","ISSAQUAH CANNABIS COMPANY","Apr-2016",655540,242550,"King County","Retailer since Jan 2015","http://www.502data.com//license/414867"
"101","ISSAQUAH CANNABIS COMPANY","Mar-2016",645694,238907,"King County","Retailer since Jan 2015","http://www.502data.com//license/414867"
"102","ISSAQUAH CANNABIS COMPANY","Feb-2016",597102,220928,"King County","Retailer since Jan 2015","http://www.502data.com//license/414867"
"103","ISSAQUAH CANNABIS COMPANY","Jan-2016",602837,223050,"King County","Retailer since Jan 2015","http://www.502data.com//license/414867"
"104","ISSAQUAH CANNABIS COMPANY","All-2015",4364118,1573382,"King County","Retailer since Jan 2015","http://www.502data.com//license/414867"
"105","THE EVERGREEN MARKET OF AUBURN","Sep-2016",720257,266495,"King County","Retailer since Mar 2016","http://www.502data.com//license/414714"
"106","THE EVERGREEN MARKET OF AUBURN","Aug-2016",691078,255699,"King County","Retailer since Mar 2016","http://www.502data.com//license/414714"
"107","THE EVERGREEN MARKET OF AUBURN","Jul-2016",650012,240504,"King County","Retailer since Mar 2016","http://www.502data.com//license/414714"
"108","THE EVERGREEN MARKET OF AUBURN","Jun-2016",530701,196359,"King County","Retailer since Mar 2016","http://www.502data.com//license/414714"
"109","THE EVERGREEN MARKET OF AUBURN","May-2016",419835,155339,"King County","Retailer since Mar 2016","http://www.502data.com//license/414714"
"110","THE EVERGREEN MARKET OF AUBURN","Apr-2016",293165,108471,"King County","Retailer since Mar 2016","http://www.502data.com//license/414714"
"111","THE EVERGREEN MARKET OF AUBURN","Mar-2016",122005,45142,"King County","Retailer since Mar 2016","http://www.502data.com//license/414714"
"112","BELLEVUE MARIJUANA","Sep-2016",703643,260348,"King County","Retailer since Feb 2015","http://www.502data.com//license/415253"
"113","BELLEVUE MARIJUANA","Aug-2016",690288,255407,"King County","Retailer since Feb 2015","http://www.502data.com//license/415253"
"114","BELLEVUE MARIJUANA","Jul-2016",633393,234355,"King County","Retailer since Feb 2015","http://www.502data.com//license/415253"
"115","BELLEVUE MARIJUANA","Jun-2016",537092,198724,"King County","Retailer since Feb 2015","http://www.502data.com//license/415253"
"116","BELLEVUE MARIJUANA","May-2016",500581,185215,"King County","Retailer since Feb 2015","http://www.502data.com//license/415253"
