"Name","Month","Sales","ExciseTax","County","Established","ProdProcURLLink"
"90","DOC CROC","Mar-2016",200319,0,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/413948"
"91","DOC CROC","Feb-2016",141924,0,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/413948"
"92","DOC CROC","Jan-2016",117991,0,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/413948"
"93","DOC CROC","All-2015",777293,31121,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/413948"
"94","AVITAS","Sep-2016",380710,0,"Snohomish County","Processor since Aug 2014","http://www.502data.com//license/412759"
"95","AVITAS","Aug-2016",367484,0,"Snohomish County","Processor since Aug 2014","http://www.502data.com//license/412759"
"96","AVITAS","Jul-2016",304386,0,"Snohomish County","Processor since Aug 2014","http://www.502data.com//license/412759"
"97","AVITAS","Jun-2016",212493,0,"Snohomish County","Processor since Aug 2014","http://www.502data.com//license/412759"
"98","AVITAS","May-2016",303941,0,"Snohomish County","Processor since Aug 2014","http://www.502data.com//license/412759"
"99","AVITAS","Apr-2016",322157,0,"Snohomish County","Processor since Aug 2014","http://www.502data.com//license/412759"
"100","AVITAS","Mar-2016",331944,0,"Snohomish County","Processor since Aug 2014","http://www.502data.com//license/412759"
"101","AVITAS","Feb-2016",326976,0,"Snohomish County","Processor since Aug 2014","http://www.502data.com//license/412759"
"102","AVITAS","Jan-2016",346839,0,"Snohomish County","Processor since Aug 2014","http://www.502data.com//license/412759"
"103","AVITAS","All-2015",2224059,216243,"Snohomish County","Processor since Aug 2014","http://www.502data.com//license/412759"
"104","AVITAS","All-2014",578117,192706,"Snohomish County","Processor since Aug 2014","http://www.502data.com//license/412759"
"105","LIFE GARDENS 1","Sep-2016",379551,0,"Kittitas County","Producer/Processor since Mar 2015","http://www.502data.com//license/412792"
"106","LIFE GARDENS 1","Aug-2016",349868,0,"Kittitas County","Producer/Processor since Mar 2015","http://www.502data.com//license/412792"
"107","LIFE GARDENS 1","Jul-2016",243189,0,"Kittitas County","Producer/Processor since Mar 2015","http://www.502data.com//license/412792"
"108","LIFE GARDENS 1","Jun-2016",201286,0,"Kittitas County","Producer/Processor since Mar 2015","http://www.502data.com//license/412792"
"109","LIFE GARDENS 1","May-2016",118445,0,"Kittitas County","Producer/Processor since Mar 2015","http://www.502data.com//license/412792"
"110","LIFE GARDENS 1","Apr-2016",190211,0,"Kittitas County","Producer/Processor since Mar 2015","http://www.502data.com//license/412792"
"111","LIFE GARDENS 1","Mar-2016",130091,0,"Kittitas County","Producer/Processor since Mar 2015","http://www.502data.com//license/412792"
"112","LIFE GARDENS 1","Feb-2016",175856,0,"Kittitas County","Producer/Processor since Mar 2015","http://www.502data.com//license/412792"
"113","LIFE GARDENS 1","Jan-2016",100468,0,"Kittitas County","Producer/Processor since Mar 2015","http://www.502data.com//license/412792"
"114","LIFE GARDENS 1","All-2015",2268599,305563,"Kittitas County","Producer/Processor since Mar 2015","http://www.502data.com//license/412792"
"115","LIFE GARDENS 1","All-2014",463060,154353,"Kittitas County","Producer/Processor since Mar 2015","http://www.502data.com//license/412792"
"116","BOTANICA SEATTLE","Sep-2016",377931,0,"King County","Processor since Nov 2014","http://www.502data.com//license/412724"
"117","BOTANICA SEATTLE","Aug-2016",377380,0,"King County","Processor since Nov 2014","http://www.502data.com//license/412724"
"118","BOTANICA SEATTLE","Jul-2016",340725,0,"King County","Processor since Nov 2014","http://www.502data.com//license/412724"
"119","BOTANICA SEATTLE","Jun-2016",313571,0,"King County","Processor since Nov 2014","http://www.502data.com//license/412724"
"120","BOTANICA SEATTLE","May-2016",284293,0,"King County","Processor since Nov 2014","http://www.502data.com//license/412724"
"121","BOTANICA SEATTLE","Apr-2016",299130,0,"King County","Processor since Nov 2014","http://www.502data.com//license/412724"
"122","BOTANICA SEATTLE","Mar-2016",300216,80,"King County","Processor since Nov 2014","http://www.502data.com//license/412724"
"123","BOTANICA SEATTLE","Feb-2016",240643,56,"King County","Processor since Nov 2014","http://www.502data.com//license/412724"
"124","BOTANICA SEATTLE","Jan-2016",233583,0,"King County","Processor since Nov 2014","http://www.502data.com//license/412724"
"125","BOTANICA SEATTLE","All-2015",1927194,201705,"King County","Processor since Nov 2014","http://www.502data.com//license/412724"
"126","BOTANICA SEATTLE","All-2014",125831,41944,"King County","Processor since Nov 2014","http://www.502data.com//license/412724"
"127","DOUBLE DELICIOUS","Sep-2016",372942,0,"Chelan County","Producer/Processor since Jul 2015","http://www.502data.com//license/414462"
"128","DOUBLE DELICIOUS","Aug-2016",273313,0,"Chelan County","Producer/Processor since Jul 2015","http://www.502data.com//license/414462"
